Booking_ID,Hotel_Type,Country,Booking_Channel,Customer_Type,Room_Type,Length_of_Stay,Rooms_Booked,Room_Rate,Extra_Charges,Booking_Status,Checkin_Date,Checkout_Date,Revenue
BKG20,City Hotel,USA,Online,Couple,Standard,9,2,407,190,Completed,2023-01-01 19:00:00,2023-01-10 19:00:00,7516
BKG21,Resort Hotel,UAE,Direct,Family,Deluxe,6,1,439,167,Completed,2023-01-01 20:00:00,2023-01-07 20:00:00,2801
BKG22,City Hotel,India,Online,Group,Executive,7,1,229,1,Completed,2023-01-01 21:00:00,2023-01-08 21:00:00,1604
BKG23,Resort Hotel,Australia,Online,Family,Executive,6,3,174,19,Cancelled,2023-01-01 22:00:00,2023-01-07 22:00:00,3151
BKG24,Resort Hotel,India,Online,Group,Executive,8,3,425,32,Completed,2023-01-01 23:00:00,2023-01-09 23:00:00,10232
BKG25,Resort Hotel,Canada,Corporate,Family,Deluxe,14,3,232,13,Completed,2023-01-02 00:00:00,2023-01-16 00:00:00,9757
BKG26,Resort Hotel,China,Online,Couple,Deluxe,7,1,381,181,Completed,2023-01-02 01:00:00,2023-01-09 01:00:00,2848
BKG27,Resort Hotel,Australia,Online,Business,Suite,10,1,378,54,Completed,2023-01-02 02:00:00,2023-01-12 02:00:00,3834
BKG28,Resort Hotel,UAE,Corporate,Business,Deluxe,1,3,482,36,Completed,2023-01-02 03:00:00,2023-01-03 03:00:00,1482
BKG29,Resort Hotel,Australia,Online,Group,Executive,3,3,249,104,Completed,2023-01-02 04:00:00,2023-01-05 04:00:00,2345
BKG30,Resort Hotel,Germany,Online,Couple,Deluxe,3,1,233,83,No Show,2023-01-02 05:00:00,2023-01-05 05:00:00,782
BKG31,City Hotel,Brazil,Corporate,Family,Executive,3,3,346,112,No Show,2023-01-02 06:00:00,2023-01-05 06:00:00,3226
BKG32,City Hotel,Brazil,Travel Agent,Group,Suite,4,3,273,133,Completed,2023-01-02 07:00:00,2023-01-06 07:00:00,3409
BKG33,Resort Hotel,UAE,Corporate,Group,Suite,13,3,411,160,Completed,2023-01-02 08:00:00,2023-01-15 08:00:00,16189
BKG34,Resort Hotel,China,Online,Family,Executive,1,1,489,127,Cancelled,2023-01-02 09:00:00,2023-01-03 09:00:00,616
BKG35,Resort Hotel,Brazil,Direct,Family,Deluxe,14,1,426,49,Cancelled,2023-01-02 10:00:00,2023-01-16 10:00:00,6013
BKG36,City Hotel,UK,Direct,Family,Deluxe,11,2,138,83,Completed,2023-01-02 11:00:00,2023-01-13 11:00:00,3119
BKG37,Resort Hotel,Canada,Online,Couple,Standard,2,2,274,197,Cancelled,2023-01-02 12:00:00,2023-01-04 12:00:00,1293
BKG38,City Hotel,UAE,Online,Business,Suite,12,2,496,199,Completed,2023-01-02 13:00:00,2023-01-14 13:00:00,12103
BKG39,City Hotel,UAE,Direct,Group,Suite,5,2,167,78,Completed,2023-01-02 14:00:00,2023-01-07 14:00:00,1748
BKG40,City Hotel,USA,Online,Group,Executive,11,3,205,85,Completed,2023-01-02 15:00:00,2023-01-13 15:00:00,6850
BKG41,City Hotel,USA,Travel Agent,Business,Standard,6,1,208,178,Completed,2023-01-02 16:00:00,2023-01-08 16:00:00,1426
BKG42,City Hotel,Germany,Travel Agent,Group,Deluxe,9,1,232,193,Completed,2023-01-02 17:00:00,2023-01-11 17:00:00,2281
BKG43,Resort Hotel,Germany,Corporate,Couple,Executive,2,2,485,188,Completed,2023-01-02 18:00:00,2023-01-04 18:00:00,2128
BKG44,Resort Hotel,USA,Corporate,Family,Deluxe,14,3,251,155,Cancelled,2023-01-02 19:00:00,2023-01-16 19:00:00,10697
BKG45,Resort Hotel,Brazil,Online,Business,Deluxe,12,1,115,99,Cancelled,2023-01-02 20:00:00,2023-01-14 20:00:00,1479
BKG46,Resort Hotel,France,Online,Couple,Deluxe,9,1,95,171,Completed,2023-01-02 21:00:00,2023-01-11 21:00:00,1026
BKG47,Resort Hotel,UAE,Corporate,Family,Standard,7,3,413,139,Completed,2023-01-02 22:00:00,2023-01-09 22:00:00,8812
BKG48,City Hotel,UK,Corporate,Business,Suite,9,3,309,56,Completed,2023-01-02 23:00:00,2023-01-11 23:00:00,8399
BKG49,Resort Hotel,UAE,Travel Agent,Couple,Suite,4,2,455,153,Completed,2023-01-03 00:00:00,2023-01-07 00:00:00,3793
BKG50,Resort Hotel,India,Direct,Business,Deluxe,7,2,478,24,Completed,2023-01-03 01:00:00,2023-01-10 01:00:00,6716
BKG51,City Hotel,China,Corporate,Business,Standard,1,3,293,14,Completed,2023-01-03 02:00:00,2023-01-04 02:00:00,893
BKG52,Resort Hotel,Canada,Online,Couple,Deluxe,8,1,205,102,No Show,2023-01-03 03:00:00,2023-01-11 03:00:00,1742
BKG53,City Hotel,France,Corporate,Group,Deluxe,7,3,443,97,Cancelled,2023-01-03 04:00:00,2023-01-10 04:00:00,9400
BKG54,Resort Hotel,UK,Online,Couple,Executive,7,3,499,76,Completed,2023-01-03 05:00:00,2023-01-10 05:00:00,10555
BKG55,City Hotel,India,Online,Business,Standard,2,1,298,180,Completed,2023-01-03 06:00:00,2023-01-05 06:00:00,776
BKG56,Resort Hotel,Germany,Online,Business,Standard,10,1,482,103,Cancelled,2023-01-03 07:00:00,2023-01-13 07:00:00,4923
BKG57,Resort Hotel,UK,Corporate,Couple,Suite,9,2,144,64,Completed,2023-01-03 08:00:00,2023-01-12 08:00:00,2656
BKG58,City Hotel,USA,Direct,Family,Suite,11,3,304,112,Completed,2023-01-03 09:00:00,2023-01-14 09:00:00,10144
BKG59,City Hotel,UAE,Online,Family,Deluxe,8,2,411,122,Completed,2023-01-03 10:00:00,2023-01-11 10:00:00,6698
BKG60,City Hotel,UK,Online,Family,Executive,1,3,385,110,Cancelled,2023-01-03 11:00:00,2023-01-04 11:00:00,1265
BKG61,City Hotel,China,Travel Agent,Family,Executive,11,3,250,122,Completed,2023-01-03 12:00:00,2023-01-14 12:00:00,8372
BKG62,City Hotel,Australia,Corporate,Couple,Executive,1,1,356,53,Completed,2023-01-03 13:00:00,2023-01-04 13:00:00,409
BKG63,City Hotel,Germany,Corporate,Group,Deluxe,14,3,476,166,Completed,2023-01-03 14:00:00,2023-01-17 14:00:00,20158
BKG64,City Hotel,Canada,Travel Agent,Family,Suite,5,3,183,178,Completed,2023-01-03 15:00:00,2023-01-08 15:00:00,2923
BKG65,City Hotel,Canada,Travel Agent,Business,Standard,2,1,426,19,Completed,2023-01-03 16:00:00,2023-01-05 16:00:00,871
BKG66,Resort Hotel,UK,Online,Family,Deluxe,1,1,202,191,Completed,2023-01-03 17:00:00,2023-01-04 17:00:00,393
BKG67,Resort Hotel,Australia,Online,Group,Executive,10,1,304,88,Completed,2023-01-03 18:00:00,2023-01-13 18:00:00,3128
BKG68,City Hotel,UAE,Online,Couple,Executive,12,3,309,10,Completed,2023-01-03 19:00:00,2023-01-15 19:00:00,11134
BKG69,Resort Hotel,India,Corporate,Group,Deluxe,13,1,289,126,Completed,2023-01-03 20:00:00,2023-01-16 20:00:00,3883
BKG70,Resort Hotel,France,Online,Group,Executive,11,3,201,51,Completed,2023-01-03 21:00:00,2023-01-14 21:00:00,6684
BKG71,Resort Hotel,UAE,Travel Agent,Group,Standard,8,2,489,53,Completed,2023-01-03 22:00:00,2023-01-11 22:00:00,7877
BKG72,Resort Hotel,India,Online,Family,Deluxe,12,1,140,68,Completed,2023-01-03 23:00:00,2023-01-15 23:00:00,1748
BKG73,City Hotel,France,Online,Family,Standard,13,2,289,6,Completed,2023-01-04 00:00:00,2023-01-17 00:00:00,7520
BKG74,Resort Hotel,Australia,Online,Group,Suite,4,2,232,139,Completed,2023-01-04 01:00:00,2023-01-08 01:00:00,1995
BKG75,City Hotel,France,Online,Couple,Executive,2,1,359,129,Completed,2023-01-04 02:00:00,2023-01-06 02:00:00,847
BKG76,Resort Hotel,UAE,Online,Family,Executive,14,1,308,102,Completed,2023-01-04 03:00:00,2023-01-18 03:00:00,4414
BKG77,Resort Hotel,China,Corporate,Couple,Suite,5,3,480,148,Completed,2023-01-04 04:00:00,2023-01-09 04:00:00,7348
BKG78,Resort Hotel,UK,Online,Family,Suite,12,1,335,68,Completed,2023-01-04 05:00:00,2023-01-16 05:00:00,4088
BKG79,City Hotel,India,Corporate,Couple,Suite,11,2,125,90,Completed,2023-01-04 06:00:00,2023-01-15 06:00:00,2840
BKG80,Resort Hotel,China,Online,Family,Executive,13,2,346,94,Completed,2023-01-04 07:00:00,2023-01-17 07:00:00,9090
BKG81,City Hotel,India,Travel Agent,Group,Suite,13,2,411,117,Completed,2023-01-04 08:00:00,2023-01-17 08:00:00,10803
BKG82,Resort Hotel,UK,Travel Agent,Business,Deluxe,12,3,232,120,Cancelled,2023-01-04 09:00:00,2023-01-16 09:00:00,8472
BKG83,City Hotel,Brazil,Direct,Business,Suite,6,3,108,35,Completed,2023-01-04 10:00:00,2023-01-10 10:00:00,1979
BKG84,Resort Hotel,France,Online,Couple,Deluxe,8,1,89,20,Completed,2023-01-04 11:00:00,2023-01-12 11:00:00,732
BKG85,City Hotel,Australia,Online,Couple,Deluxe,7,1,94,52,Cancelled,2023-01-04 12:00:00,2023-01-11 12:00:00,710
BKG86,City Hotel,Brazil,Direct,Group,Standard,7,1,455,146,Completed,2023-01-04 13:00:00,2023-01-11 13:00:00,3331
BKG87,Resort Hotel,Brazil,Online,Group,Deluxe,1,2,64,2,Cancelled,2023-01-04 14:00:00,2023-01-05 14:00:00,130
BKG88,City Hotel,Canada,Corporate,Couple,Deluxe,3,2,269,187,Completed,2023-01-04 15:00:00,2023-01-07 15:00:00,1801
BKG89,Resort Hotel,USA,Online,Business,Suite,3,2,322,80,Completed,2023-01-04 16:00:00,2023-01-07 16:00:00,2012
BKG90,Resort Hotel,UAE,Travel Agent,Group,Executive,7,1,236,93,Completed,2023-01-04 17:00:00,2023-01-11 17:00:00,1745
BKG91,Resort Hotel,China,Online,Couple,Suite,12,1,413,99,Completed,2023-01-04 18:00:00,2023-01-16 18:00:00,5055
BKG92,Resort Hotel,China,Direct,Group,Standard,14,2,74,161,Completed,2023-01-04 19:00:00,2023-01-18 19:00:00,2233
BKG93,Resort Hotel,China,Travel Agent,Group,Standard,2,1,348,156,Completed,2023-01-04 20:00:00,2023-01-06 20:00:00,852
BKG94,Resort Hotel,China,Online,Family,Executive,10,3,241,115,No Show,2023-01-04 21:00:00,2023-01-14 21:00:00,7345
BKG95,Resort Hotel,UAE,Online,Group,Deluxe,7,1,228,184,Cancelled,2023-01-04 22:00:00,2023-01-11 22:00:00,1780
BKG96,Resort Hotel,Brazil,Online,Couple,Standard,9,2,110,72,No Show,2023-01-04 23:00:00,2023-01-13 23:00:00,2052
BKG97,Resort Hotel,UAE,Corporate,Group,Executive,1,1,478,39,Cancelled,2023-01-05 00:00:00,2023-01-06 00:00:00,517
BKG98,Resort Hotel,China,Online,Couple,Suite,12,3,180,49,No Show,2023-01-05 01:00:00,2023-01-17 01:00:00,6529
BKG99,Resort Hotel,USA,Online,Family,Suite,14,2,298,146,Completed,2023-01-05 02:00:00,2023-01-19 02:00:00,8490
BKG100,City Hotel,Germany,Travel Agent,Family,Suite,2,1,213,149,Completed,2023-01-05 03:00:00,2023-01-07 03:00:00,575
BKG101,City Hotel,UK,Online,Business,Deluxe,11,1,256,178,Completed,2023-01-05 04:00:00,2023-01-16 04:00:00,2994
BKG102,Resort Hotel,China,Online,Family,Deluxe,6,1,287,48,Completed,2023-01-05 05:00:00,2023-01-11 05:00:00,1770
BKG103,Resort Hotel,Australia,Online,Family,Executive,2,1,241,179,Cancelled,2023-01-05 06:00:00,2023-01-07 06:00:00,661
BKG104,Resort Hotel,Germany,Corporate,Couple,Standard,14,3,77,122,Completed,2023-01-05 07:00:00,2023-01-19 07:00:00,3356
BKG105,Resort Hotel,UAE,Direct,Business,Suite,12,1,156,149,Completed,2023-01-05 08:00:00,2023-01-17 08:00:00,2021
BKG106,Resort Hotel,Australia,Online,Family,Deluxe,2,1,272,112,Completed,2023-01-05 09:00:00,2023-01-07 09:00:00,656
BKG107,Resort Hotel,Australia,Corporate,Group,Deluxe,5,2,429,189,Completed,2023-01-05 10:00:00,2023-01-10 10:00:00,4479
BKG108,Resort Hotel,India,Online,Business,Standard,7,3,478,59,Completed,2023-01-05 11:00:00,2023-01-12 11:00:00,10097
BKG109,Resort Hotel,Australia,Online,Family,Suite,4,2,133,6,Completed,2023-01-05 12:00:00,2023-01-09 12:00:00,1070
BKG110,City Hotel,China,Travel Agent,Business,Suite,13,3,286,118,Cancelled,2023-01-05 13:00:00,2023-01-18 13:00:00,11272
BKG111,Resort Hotel,India,Online,Family,Standard,6,1,198,180,Cancelled,2023-01-05 14:00:00,2023-01-11 14:00:00,1368
BKG112,City Hotel,Canada,Travel Agent,Couple,Executive,12,3,332,30,Completed,2023-01-05 15:00:00,2023-01-17 15:00:00,11982
BKG113,Resort Hotel,Brazil,Corporate,Business,Executive,3,2,388,131,No Show,2023-01-05 16:00:00,2023-01-08 16:00:00,2459
BKG114,Resort Hotel,Australia,Direct,Business,Standard,4,1,149,92,No Show,2023-01-05 17:00:00,2023-01-09 17:00:00,688
BKG115,City Hotel,USA,Online,Family,Standard,4,2,381,6,Completed,2023-01-05 18:00:00,2023-01-09 18:00:00,3054
BKG116,Resort Hotel,UK,Online,Business,Executive,4,2,84,130,Cancelled,2023-01-05 19:00:00,2023-01-09 19:00:00,802
BKG117,City Hotel,Australia,Direct,Family,Standard,12,3,481,24,Completed,2023-01-05 20:00:00,2023-01-17 20:00:00,17340
BKG118,Resort Hotel,Canada,Online,Group,Suite,1,1,146,161,No Show,2023-01-05 21:00:00,2023-01-06 21:00:00,307
BKG119,Resort Hotel,France,Travel Agent,Business,Executive,13,2,405,32,Completed,2023-01-05 22:00:00,2023-01-18 22:00:00,10562
BKG120,City Hotel,UAE,Online,Business,Executive,4,2,282,94,Cancelled,2023-01-05 23:00:00,2023-01-09 23:00:00,2350
BKG121,Resort Hotel,UAE,Online,Couple,Executive,4,3,456,87,Completed,2023-01-06 00:00:00,2023-01-10 00:00:00,5559
BKG122,City Hotel,Canada,Online,Couple,Suite,6,2,497,125,Cancelled,2023-01-06 01:00:00,2023-01-12 01:00:00,6089
BKG123,Resort Hotel,France,Corporate,Business,Standard,9,1,62,37,Completed,2023-01-06 02:00:00,2023-01-15 02:00:00,595
BKG124,City Hotel,UAE,Corporate,Couple,Deluxe,10,1,295,109,Completed,2023-01-06 03:00:00,2023-01-16 03:00:00,3059
BKG125,City Hotel,UAE,Online,Business,Deluxe,6,3,463,124,Cancelled,2023-01-06 04:00:00,2023-01-12 04:00:00,8458
BKG126,Resort Hotel,UAE,Corporate,Family,Suite,6,2,453,125,Completed,2023-01-06 05:00:00,2023-01-12 05:00:00,5561
BKG127,Resort Hotel,Canada,Online,Business,Suite,7,3,311,3,Cancelled,2023-01-06 06:00:00,2023-01-13 06:00:00,6534
BKG128,City Hotel,Brazil,Online,Business,Standard,7,3,272,175,Completed,2023-01-06 07:00:00,2023-01-13 07:00:00,5887
BKG129,Resort Hotel,UK,Corporate,Group,Deluxe,1,2,452,100,Cancelled,2023-01-06 08:00:00,2023-01-07 08:00:00,1004
BKG130,Resort Hotel,Canada,Travel Agent,Couple,Executive,8,1,123,60,Completed,2023-01-06 09:00:00,2023-01-14 09:00:00,1044
BKG131,Resort Hotel,France,Online,Couple,Suite,1,3,315,192,Completed,2023-01-06 10:00:00,2023-01-07 10:00:00,1137
BKG132,City Hotel,Australia,Online,Group,Deluxe,9,1,233,80,Cancelled,2023-01-06 11:00:00,2023-01-15 11:00:00,2177
BKG133,City Hotel,Brazil,Direct,Family,Executive,14,1,326,109,Completed,2023-01-06 12:00:00,2023-01-20 12:00:00,4673
BKG134,City Hotel,Brazil,Corporate,Family,Executive,14,2,432,198,Cancelled,2023-01-06 13:00:00,2023-01-20 13:00:00,12294
BKG135,City Hotel,Australia,Corporate,Family,Standard,4,2,105,77,Completed,2023-01-06 14:00:00,2023-01-10 14:00:00,917
BKG136,City Hotel,USA,Online,Group,Suite,9,1,106,60,Completed,2023-01-06 15:00:00,2023-01-15 15:00:00,1014
BKG137,City Hotel,India,Corporate,Business,Executive,8,1,435,128,Completed,2023-01-06 16:00:00,2023-01-14 16:00:00,3608
BKG138,City Hotel,UK,Online,Family,Suite,9,1,344,5,Completed,2023-01-06 17:00:00,2023-01-15 17:00:00,3101
BKG139,City Hotel,UK,Direct,Family,Deluxe,14,3,110,20,Completed,2023-01-06 18:00:00,2023-01-20 18:00:00,4640
BKG140,City Hotel,USA,Online,Group,Deluxe,6,1,222,194,Cancelled,2023-01-06 19:00:00,2023-01-12 19:00:00,1526
BKG141,Resort Hotel,India,Online,Couple,Suite,9,3,159,82,Completed,2023-01-06 20:00:00,2023-01-15 20:00:00,4375
BKG142,City Hotel,UK,Online,Group,Executive,4,2,461,27,Completed,2023-01-06 21:00:00,2023-01-10 21:00:00,3715
BKG143,Resort Hotel,France,Corporate,Couple,Executive,3,2,195,193,Completed,2023-01-06 22:00:00,2023-01-09 22:00:00,1363
BKG144,Resort Hotel,Germany,Corporate,Family,Deluxe,3,1,63,154,Completed,2023-01-06 23:00:00,2023-01-09 23:00:00,343
BKG145,Resort Hotel,Germany,Online,Family,Executive,8,2,232,159,Completed,2023-01-07 00:00:00,2023-01-15 00:00:00,3871
BKG146,City Hotel,UK,Travel Agent,Business,Executive,2,1,364,139,Completed,2023-01-07 01:00:00,2023-01-09 01:00:00,867
BKG147,City Hotel,China,Corporate,Business,Deluxe,12,3,414,64,Completed,2023-01-07 02:00:00,2023-01-19 02:00:00,14968
BKG148,City Hotel,UK,Online,Couple,Standard,6,1,196,173,Cancelled,2023-01-07 03:00:00,2023-01-13 03:00:00,1349
BKG149,City Hotel,Australia,Corporate,Family,Deluxe,9,2,281,167,Completed,2023-01-07 04:00:00,2023-01-16 04:00:00,5225
BKG150,Resort Hotel,Australia,Direct,Family,Suite,9,1,346,92,Completed,2023-01-07 05:00:00,2023-01-16 05:00:00,3206
BKG151,City Hotel,India,Online,Group,Standard,8,2,189,136,Completed,2023-01-07 06:00:00,2023-01-15 06:00:00,3160
BKG152,City Hotel,UAE,Online,Family,Suite,8,3,197,81,Completed,2023-01-07 07:00:00,2023-01-15 07:00:00,4809
BKG153,City Hotel,Brazil,Online,Family,Standard,1,2,467,61,Completed,2023-01-07 08:00:00,2023-01-08 08:00:00,995
BKG154,City Hotel,France,Online,Group,Standard,11,2,430,108,Cancelled,2023-01-07 09:00:00,2023-01-18 09:00:00,9568
BKG155,City Hotel,USA,Online,Group,Deluxe,7,2,85,143,Completed,2023-01-07 10:00:00,2023-01-14 10:00:00,1333
BKG156,Resort Hotel,UK,Corporate,Family,Deluxe,14,2,326,98,Completed,2023-01-07 11:00:00,2023-01-21 11:00:00,9226
BKG157,City Hotel,UAE,Travel Agent,Business,Suite,1,2,105,99,Completed,2023-01-07 12:00:00,2023-01-08 12:00:00,309
BKG158,Resort Hotel,UAE,Online,Business,Deluxe,9,2,90,195,Completed,2023-01-07 13:00:00,2023-01-16 13:00:00,1815
BKG159,City Hotel,France,Travel Agent,Family,Standard,3,1,432,167,Completed,2023-01-07 14:00:00,2023-01-10 14:00:00,1463
BKG160,Resort Hotel,USA,Travel Agent,Business,Deluxe,1,3,218,34,Completed,2023-01-07 15:00:00,2023-01-08 15:00:00,688
BKG161,City Hotel,Australia,Direct,Group,Suite,8,1,220,126,Completed,2023-01-07 16:00:00,2023-01-15 16:00:00,1886
BKG162,City Hotel,Canada,Online,Business,Standard,7,3,155,82,Completed,2023-01-07 17:00:00,2023-01-14 17:00:00,3337
BKG163,Resort Hotel,France,Travel Agent,Family,Suite,2,1,276,187,No Show,2023-01-07 18:00:00,2023-01-09 18:00:00,739
BKG164,Resort Hotel,UAE,Direct,Business,Executive,14,3,135,197,Completed,2023-01-07 19:00:00,2023-01-21 19:00:00,5867
BKG165,Resort Hotel,Germany,Travel Agent,Family,Deluxe,7,3,343,90,Completed,2023-01-07 20:00:00,2023-01-14 20:00:00,7293
BKG166,City Hotel,UK,Online,Business,Standard,5,1,195,2,Completed,2023-01-07 21:00:00,2023-01-12 21:00:00,977
BKG167,Resort Hotel,India,Online,Family,Suite,7,1,313,127,Cancelled,2023-01-07 22:00:00,2023-01-14 22:00:00,2318
BKG168,City Hotel,Germany,Corporate,Family,Deluxe,10,3,296,52,Completed,2023-01-07 23:00:00,2023-01-17 23:00:00,8932
BKG169,City Hotel,UAE,Online,Business,Deluxe,12,2,499,99,Completed,2023-01-08 00:00:00,2023-01-20 00:00:00,12075
BKG170,Resort Hotel,Brazil,Direct,Business,Suite,7,3,197,186,Cancelled,2023-01-08 01:00:00,2023-01-15 01:00:00,4323
BKG171,Resort Hotel,China,Corporate,Group,Standard,2,2,490,163,Completed,2023-01-08 02:00:00,2023-01-10 02:00:00,2123
BKG172,City Hotel,USA,Online,Couple,Suite,2,3,411,193,Cancelled,2023-01-08 03:00:00,2023-01-10 03:00:00,2659
BKG173,City Hotel,Australia,Travel Agent,Family,Deluxe,7,2,271,36,Completed,2023-01-08 04:00:00,2023-01-15 04:00:00,3830
BKG174,Resort Hotel,UK,Online,Family,Suite,3,1,195,100,Completed,2023-01-08 05:00:00,2023-01-11 05:00:00,685
BKG175,Resort Hotel,India,Online,Family,Executive,4,1,157,43,No Show,2023-01-08 06:00:00,2023-01-12 06:00:00,671
BKG176,Resort Hotel,Canada,Corporate,Family,Deluxe,14,2,493,63,Completed,2023-01-08 07:00:00,2023-01-22 07:00:00,13867
BKG177,City Hotel,Australia,Travel Agent,Business,Standard,7,2,264,178,Completed,2023-01-08 08:00:00,2023-01-15 08:00:00,3874
BKG178,City Hotel,UK,Online,Business,Executive,14,2,294,123,Cancelled,2023-01-08 09:00:00,2023-01-22 09:00:00,8355
BKG179,City Hotel,Canada,Corporate,Couple,Suite,2,2,179,5,Completed,2023-01-08 10:00:00,2023-01-10 10:00:00,721
BKG180,City Hotel,India,Online,Family,Standard,13,1,475,68,Completed,2023-01-08 11:00:00,2023-01-21 11:00:00,6243
BKG181,City Hotel,UAE,Online,Couple,Executive,2,3,113,148,Completed,2023-01-08 12:00:00,2023-01-10 12:00:00,826
BKG182,City Hotel,China,Online,Group,Suite,9,1,349,56,Completed,2023-01-08 13:00:00,2023-01-17 13:00:00,3197
BKG183,Resort Hotel,Germany,Online,Couple,Executive,11,3,484,155,Completed,2023-01-08 14:00:00,2023-01-19 14:00:00,16127
BKG184,City Hotel,Germany,Direct,Couple,Deluxe,1,1,406,84,Completed,2023-01-08 15:00:00,2023-01-09 15:00:00,490
BKG185,City Hotel,UAE,Travel Agent,Group,Standard,12,2,411,23,Completed,2023-01-08 16:00:00,2023-01-20 16:00:00,9887
BKG186,City Hotel,Australia,Travel Agent,Group,Executive,12,1,273,114,Completed,2023-01-08 17:00:00,2023-01-20 17:00:00,3390
BKG187,Resort Hotel,UAE,Travel Agent,Couple,Deluxe,3,1,114,91,Completed,2023-01-08 18:00:00,2023-01-11 18:00:00,433
BKG188,City Hotel,UAE,Online,Group,Suite,10,2,114,74,Completed,2023-01-08 19:00:00,2023-01-18 19:00:00,2354
BKG189,City Hotel,UK,Online,Couple,Deluxe,4,2,423,190,Cancelled,2023-01-08 20:00:00,2023-01-12 20:00:00,3574
BKG190,Resort Hotel,UK,Travel Agent,Business,Suite,5,1,429,21,Completed,2023-01-08 21:00:00,2023-01-13 21:00:00,2166
BKG191,City Hotel,India,Direct,Business,Standard,3,1,231,109,Completed,2023-01-08 22:00:00,2023-01-11 22:00:00,802
BKG192,City Hotel,China,Corporate,Couple,Deluxe,9,3,157,33,Cancelled,2023-01-08 23:00:00,2023-01-17 23:00:00,4272
BKG193,City Hotel,UK,Online,Group,Deluxe,5,3,400,117,Completed,2023-01-09 00:00:00,2023-01-14 00:00:00,6117
BKG194,City Hotel,India,Online,Group,Suite,7,1,472,36,Completed,2023-01-09 01:00:00,2023-01-16 01:00:00,3340
BKG195,City Hotel,Brazil,Online,Business,Executive,14,3,441,40,Completed,2023-01-09 02:00:00,2023-01-23 02:00:00,18562
BKG196,Resort Hotel,UAE,Online,Business,Suite,11,2,372,78,Completed,2023-01-09 03:00:00,2023-01-20 03:00:00,8262
BKG197,Resort Hotel,UAE,Online,Group,Executive,13,1,160,104,Completed,2023-01-09 04:00:00,2023-01-22 04:00:00,2184
BKG198,Resort Hotel,Australia,Travel Agent,Group,Suite,7,1,125,42,Completed,2023-01-09 05:00:00,2023-01-16 05:00:00,917
BKG199,City Hotel,Brazil,Online,Group,Standard,11,3,299,21,No Show,2023-01-09 06:00:00,2023-01-20 06:00:00,9888
BKG200,City Hotel,Australia,Travel Agent,Group,Executive,9,1,290,90,Completed,2023-01-09 07:00:00,2023-01-18 07:00:00,2700
BKG201,City Hotel,Canada,Corporate,Couple,Deluxe,2,1,275,142,Completed,2023-01-09 08:00:00,2023-01-11 08:00:00,692
